Ticker,Avg Abs Change (%),Avg Net Change (%),Std Dev Change (%),Earnings Count
AON,3.8091666666666666,-0.1608333333333335,5.132301376988925,12
EXPD,3.7891666666666666,-0.1191666666666667,4.6151419919717105,12
LEN,3.7641666666666667,-2.4225,3.4224343409599283,12
DLR,3.7546153846153847,2.393076923076923,4.491928658930713,13
BLDR,3.7308333333333334,-0.7308333333333336,5.354862630159507,12
UAL,3.7158333333333338,1.9024999999999999,3.8726620513073904,12
ETN,3.7125,-2.2408333333333332,3.6976613206761164,12
CI,3.705833333333333,-1.1608333333333334,5.092913897730549,12
MCK,3.705833333333333,-0.04416666666666665,4.693907963488097,12
AMCR,3.7016666666666667,0.8133333333333335,4.495396298302062,12
TXT,3.6958333333333333,-0.4425000000000001,5.042887205127274,12
GIS,3.68,-0.4783333333333333,4.696737423386836,12
PTC,3.6736363636363634,0.33545454545454545,5.014386031482546,11
PCAR,3.6536363636363633,-2.0681818181818183,4.090143807207317,11
LUV,3.646153846153846,-2.0092307692307694,3.955981676605824,13
TEL,3.6299999999999994,0.42166666666666686,4.795150643824414,12
IBKR,3.6233333333333335,-0.7283333333333334,4.525617654145692,12
WFC,3.596666666666667,-0.765,3.9711424964703452,12
IQV,3.5666666666666664,0.585,4.571887416095736,12
CSGP,3.5645454545454545,-2.400909090909091,3.9426297177022716,11
GE,3.545833333333333,0.7125,4.007325394596977,12
DOW,3.545,-0.68,4.758498617306628,12
WAB,3.5246153846153847,0.6815384615384615,4.568037226486241,13
HAL,3.52,-0.9883333333333333,4.524647315905774,12
UNP,3.4966666666666666,1.1866666666666665,4.04552577397287,12
T,3.4675,0.5225000000000001,3.961882300578396,12
KMB,3.462727272727273,0.3518181818181817,4.386248552423399,11
IP,3.4466666666666668,-1.7449999999999999,4.024939299372893,12
TMUS,3.4330769230769227,-0.17615384615384608,4.467380922609164,13
TSCO,3.424615384615384,-1.6984615384615382,3.7908966532863215,13
IR,3.4233333333333333,-1.9466666666666665,3.844886411215748,12
FIS,3.4158333333333335,-1.5791666666666666,4.643299098179173,12
DD,3.3891666666666667,2.4741666666666666,3.2772673160128485,12
ODFL,3.3845454545454543,0.8463636363636364,3.999243110207912,11
XYL,3.3775,1.0975000000000001,4.303085837776505,12
CTAS,3.3466666666666662,1.71,3.5991994059285415,12
SPGI,3.3425,0.027500000000000007,3.9847598878271655,12
ADI,3.3175000000000003,0.8408333333333334,3.86321453133935,12
APO,3.295833333333333,1.6141666666666665,3.9072693518464767,12
FCX,3.293333333333333,-0.9849999999999999,4.52539601481562,12
VZ,3.2916666666666665,1.5716666666666665,3.3664273842358954,12
CCL,3.275,0.21833333333333327,4.13261931760505,12
PM,3.2741666666666664,0.9575,4.386089840724776,12
FAST,3.266666666666667,0.8116666666666666,3.760879571525144,12
COR,3.2633333333333336,-1.0533333333333335,4.534396488525404,12
BRO,3.258181818181818,-1.1036363636363635,4.132730992279252,11
FOX,3.234166666666667,2.6374999999999997,3.108186039243059,12
TRV,3.233333333333333,0.235,4.190169230689636,12
ARES,3.2274999999999996,-0.9525,3.825755124511666,12
HSIC,3.2225,0.5624999999999999,4.181337595902667,12
HON,3.2176923076923076,-1.0038461538461538,3.525002454990962,13
LDOS,3.203333333333333,2.6766666666666663,2.7633784768034593,12
PNR,3.1991666666666667,-0.03083333333333334,4.069763134347866,12
ECL,3.1966666666666668,0.385,4.7451630875316315,12
PHM,3.1908333333333334,0.12083333333333325,3.9902846978250777,12
CPRT,3.1733333333333333,-1.5233333333333334,3.934889009254456,12
NRG,3.1575,0.7941666666666668,4.98884475301617,12
NTRS,3.138333333333333,0.4683333333333333,3.663544814255806,12
